,Sale_ID,Emp_ID,Item_Name,Quantity,Per,Unit_Price,Total_Amount,Sales_Date,No,C_Name,S_Name,Teller
44,Sale-000024,2,MULTI FRUTA ,1,1/2Ctn,37,37,07/03/17,1,DAIRY MILK,CAVE & GARDENS,Teller A
45,Sale-000024,2,NANA TAKYI 70CL,2,Sgl,2.5,5,07/03/17,2,SOYA MILK,CAVE & GARDENS,Teller A
46,Sale-000024,2,ABE NSUO,1,Sgl,6.5,6.5,07/03/17,3,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
47,Sale-000026,2,ADONKO BITTERS,2,Sgl,7,14,07/03/17,1,WHISKY,ADONKO BITTERS LTD,Teller A
48,Sale-000026,2,CASTLE 700ML,1,Sgl,10,10,07/03/17,2,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
49,Sale-000026,2,MANDINGO BITTERS,1,Sgl,11,11,07/03/17,3,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
50,Sale-000026,2,JOY DADI,2,Sgl,7,14,07/03/17,4,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
51,Sale-000026,2,JOY GINGER,1,Sgl,7,7,07/03/17,5,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
52,Sale-000026,2,CLUB BEER,1,1/2Ctn,20,20,07/03/17,6,BOTTLED BEER,REMS WORLD,Teller A
53,Sale-000026,2,ABE NSUO,1,Sgl,6.5,6.5,07/03/17,7,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
54,Sale-000026,2,KAKAI BITTERS,1,Sgl,7,7,07/03/17,8,LOCAL BEVERAGES,KINGDOM DISTILLERIES,Teller A
55,Sale-000026,2,HERBAFRIK 700ML,1,Sgl,9,9,07/03/17,9,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
56,Sale-000031,2,VITAMALT,2,Ctn,42,84,11/03/17,1,LOCAL BEVERAGES,FEEHI LTD,Teller A
57,Sale-000031,2,PEPSI-MIRINDA-7UP,6,Ctn,42,252,11/03/17,2,SOFT DRINKS PET,NONE,Teller A
58,Sale-000033,2,JOY DADI,1,Ctn,84,84,07/03/17,1,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
59,Sale-000033,2,AGYA.A SACHET,1,Ctn,94,94,07/03/17,2,LOCAL BEVERAGES,AGYA.A LTD,Teller A
60,Sale-000033,2,ABE NSUO,1,Ctn,60,60,07/03/17,3,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
61,Sale-000009,2,CHOICE,1,Sgl,9,9,07/03/17,3,LOCAL BEVERAGES,PRIME CARE LTD,Teller A
62,Sale-000032,2,CLUB BEER,1,Ctn,40,40,07/03/17,1,BOTTLED BEER,REMS WORLD,Teller A
63,Sale-000035,2,ADONKO BITTERS,1,1/2Ctn,40,40,07/03/17,1,WHISKY,ADONKO BITTERS LTD,Teller A
64,Sale-000035,2,JOY DADI,1,1/2Ctn,42,42,07/03/17,2,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
65,Sale-000035,2,AGYA NIE,2,Sgl,7,14,07/03/17,3,LOCAL BEVERAGES,KWAYISI HERBAL,Teller A
66,Sale-000035,2,ORIJIN BITTERS 70CL,3,Sgl,9,27,07/03/17,4,LOCAL BEVERAGES,GUINNESS GHANA,Teller A
67,Sale-000035,2,TONIC WINE,3,Sgl,7,21,07/03/17,5,LOCAL BEVERAGES,AGYA.A LTD,Teller A
68,Sale-000035,2,GOAL GIN,1,Sgl,6.5,6.5,07/03/17,6,LOCAL BEVERAGES,PRIME CARE LTD,Teller A
69,Sale-000035,2,FAMEKO GIN,1,Sgl,6.5,6.5,07/03/17,7,LOCAL BEVERAGES,OBOUBA DISTILLERIES,Teller A
70,Sale-000035,2,JOY GINGER,2,Sgl,7,14,07/03/17,8,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
71,Sale-000040,2,ALOMO BITTERS,1,Sgl,8.5,8.5,07/03/17,1,LOCAL BEVERAGES,FEEHI LTD,Teller A
72,Sale-000041,2,RUSH ENERGY,1,Ctn,16,16,07/03/17,1,BRANDY,LYMONDS LTD,Teller A
73,Sale-000041,2,AGYA NIE,1,Sgl,7,7,07/03/17,2,LOCAL BEVERAGES,KWAYISI HERBAL,Teller A
74,Sale-000044,2,ALOMO BITTERS,2,Sgl,8.5,17,07/03/17,1,LOCAL BEVERAGES,FEEHI LTD,Teller A
75,Sale-000044,2,KASAPREKO GIN,2,Sgl,7.5,15,07/03/17,2,LOCAL BEVERAGES,FEEHI LTD,Teller A
76,Sale-000044,2,HERBAFRIK 700ML,1,Sgl,9,9,07/03/17,3,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
77,Sale-000044,2,ADONKO BITTERS,3,Sgl,7,21,07/03/17,4,WHISKY,ADONKO BITTERS LTD,Teller A
78,Sale-000044,2,JOY DADI,3,Sgl,7,21,07/03/17,5,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
79,Sale-000044,2,K20 WHISKY,2,Sgl,8,16,07/03/17,6,LOCAL BEVERAGES,FEEHI LTD,Teller A
80,Sale-000044,2,ABE NSUO,1,Sgl,6.5,6.5,07/03/17,7,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
81,Sale-000046,2,HERBAFRIK 700ML,3,Sgl,9,27,07/03/17,1,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
82,Sale-000046,2,MANDINGO BITTERS,2,Sgl,11,22,07/03/17,2,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
83,Sale-000047,2,NANA TAKYI 70CL,1,Sgl,7,7,07/03/17,1,SOYA MILK,CAVE & GARDENS,Teller A
84,Sale-000047,2,RUSH ENERGY,1,Ctn,16,16,07/03/17,2,BRANDY,LYMONDS LTD,Teller A
85,Sale-000047,2,SMIRNOFF ICE,1,1/2Ctn,35,35,07/03/17,3,VODKA,DOUBLE C,Teller A
86,Sale-000047,2,JOY GINGER,1,Sgl,7,7,07/03/17,4,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
87,Sale-000047,2,CAN MALT,1,Ctn,58,58,07/03/17,5,CAN MALT,GUINNESS GHANA,Teller A
88,Sale-000047,2,ALOMO BITTERS,1,Sgl,8.5,8.5,07/03/17,6,LOCAL BEVERAGES,FEEHI LTD,Teller A
89,Sale-000047,2,JOY DADI,1,Sgl,7,7,07/03/17,7,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
90,Sale-000047,2,CASTLE 700ML,1,Sgl,10,10,07/03/17,8,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
91,Sale-000047,2,AGYA NIE,1,Sgl,7,7,07/03/17,9,LOCAL BEVERAGES,KWAYISI HERBAL,Teller A
92,Sale-000048,2,ORIS RHUM,1,Sgl,15,15,07/03/17,1,LOCAL BEVERAGES,GUINNESS GHANA,Teller A
93,Sale-000048,2,ADONKO BITTERS,4,Sgl,7,28,07/03/17,2,WHISKY,ADONKO BITTERS LTD,Teller A
94,Sale-000048,2,JOY DADI,1,Sgl,7,7,07/03/17,3,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
95,Sale-000048,2,FAXE 5% 50CL,1,1/4Ctn,21.5,21.5,07/03/17,4,CAN BEER,CAVE & GARDENS,Teller A
96,Sale-000049,2,JOY DADI,2,Sgl,7,14,07/03/17,1,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
97,Sale-000050,2,ALOMO BITTERS,1,Sgl,8.5,8.5,07/03/17,1,LOCAL BEVERAGES,FEEHI LTD,Teller A
98,Sale-000050,2,JOY DADI,3,Sgl,7,21,07/03/17,2,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
99,Sale-000050,2,JOY GINGER,1,Sgl,7,7,07/03/17,3,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
100,Sale-000050,2,ADONKO BITTERS,2,Sgl,7,14,07/03/17,4,WHISKY,ADONKO BITTERS LTD,Teller A
101,Sale-000050,2,AGYA NIE,2,Sgl,7,14,07/03/17,5,LOCAL BEVERAGES,KWAYISI HERBAL,Teller A
102,Sale-000050,2,KAKAI BITTERS,1,Sgl,7,7,07/03/17,6,LOCAL BEVERAGES,KINGDOM DISTILLERIES,Teller A
103,Sale-000050,2,BIE GYA,1,Sgl,7,7,07/03/17,7,LOCAL BEVERAGES,AHOMKA BEVERAGES,Teller A
104,Sale-000053,2,AGYA.A SACHET,4,Sgl,9,36,07/03/17,1,LOCAL BEVERAGES,AGYA.A LTD,Teller A
105,Sale-000054,2,CUVEE ,1,Sgl,12,12,07/03/17,1,WINES,CAVE & GARDENS,Teller A
106,Sale-000056,2,CLUB BEER,3,Ctn,40,120,07/03/17,1,BOTTLED BEER,REMS WORLD,Teller A
107,Sale-000056,2,GULDER LAGER,1,1/2Ctn,20,20,07/03/17,2,BEER,DOUBLE C,Teller A
108,Sale-000056,2,STAR/L,1,1/2Ctn,20,20,07/03/17,3,WHISKY,CAVE & GARDENS,Teller A
109,Sale-000056,2,MALTA GUINNESS,1,1/2Ctn,21.5,21.5,07/03/17,4,BOTTLED MALT,DOUBLE C,Teller A
110,Sale-000056,2,GUINNESS STOUT ,1,1/2Ctn,30,30,07/03/17,5,BOTTLED STOUT,DOUBLE C,Teller A
111,Sale-000057,2,ORIJIN BEER/L,1,1/2Ctn,20,20,07/03/17,1,NONE,NONE,Teller A
112,Sale-000057,2,MALTA GUINNESS,1,1/2Ctn,21.5,21.5,07/03/17,2,BOTTLED MALT,DOUBLE C,Teller A
113,Sale-000057,2,MINERALS,1,Ctn,32,32,07/03/17,3,BOTTLED MINERALS,NONE,Teller A
114,Sale-000060,2,KASAPREKO GIN,1,Ctn,68,68,07/03/17,1,LOCAL BEVERAGES,FEEHI LTD,Teller A
115,Sale-000061,2,BETA MALT,1,Ctn,22,22,07/03/17,1,MALT PET,VOLTIC GHANA,Teller A
116,Sale-000061,2,MALT PET,1,Ctn,22,22,07/03/17,2,MALT PET,GUINNESS GHANA,Teller A
117,Sale-000061,2,KAESAR APPLE 500ML,1,Ctn,19,19,07/03/17,3,SOFT DRINKS,NONE,Teller A
118,Sale-000062,2,ADONKO BITTERS,1,1/2Ctn,40,40,07/03/17,1,WHISKY,ADONKO BITTERS LTD,Teller A
119,Sale-000062,2,RUSH ENERGY,2,Ctn,16,32,07/03/17,2,BRANDY,LYMONDS LTD,Teller A
120,Sale-000062,2,CHOICE,2,Sgl,9,18,07/03/17,3,LOCAL BEVERAGES,PRIME CARE LTD,Teller A
121,Sale-000011,2,CLUB BEER,1,Ctn,40,40,07/03/17,1,BOTTLED BEER,REMS WORLD,Teller A
122,Sale-000025,2,HERBAFRIK GTOT,1,Sgl,14,14,07/03/17,1,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
123,Sale-000011,2,STAR/L,1,Ctn,40,40,07/03/17,3,WHISKY,CAVE & GARDENS,Teller A
124,Sale-000011,2,ALOMO BITTERS,1,Sgl,8.5,8.5,07/03/17,4,LOCAL BEVERAGES,FEEHI LTD,Teller A
125,Sale-000011,2,HERBAFRIK 700ML,1,Sgl,9,9,07/03/17,5,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
126,Sale-000011,2,ADONKO BITTERS,4,Sgl,7,28,07/03/17,6,WHISKY,ADONKO BITTERS LTD,Teller A
127,Sale-000011,2,JOY GINGER,4,Sgl,7,28,07/03/17,7,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
128,Sale-000011,2,GOAL GIN,2,Sgl,6.5,13,07/03/17,8,LOCAL BEVERAGES,PRIME CARE LTD,Teller A
129,Sale-000011,2,AGYA NIE,2,Sgl,7,14,07/03/17,9,LOCAL BEVERAGES,KWAYISI HERBAL,Teller A
130,Sale-000011,2,JOY DADI BITTERS,3,Sgl,7,21,07/03/17,10,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
131,Sale-000015,2,CASTLE 700ML,2,Sgl,10,20,07/03/17,1,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
132,Sale-000018,2,ALVARO PET ,2,Ctn,19,38,07/03/17,1,SOFT DRINKS PET,GUINNESS GHANA,Teller A
133,Sale-000018,2,ADONKO BITTERS,1,1/2Ctn,40,40,07/03/17,2,WHISKY,ADONKO BITTERS LTD,Teller A
134,Sale-000018,2,BIE GYA,1,1/2Ctn,38,38,07/03/17,3,LOCAL BEVERAGES,AHOMKA BEVERAGES,Teller A
135,Sale-000018,2,KAKAI BITTERS,1,1/2Ctn,40,40,07/03/17,4,LOCAL BEVERAGES,KINGDOM DISTILLERIES,Teller A
136,Sale-000018,2,ORIS RHUM,2,Sgl,15,30,07/03/17,5,LOCAL BEVERAGES,GUINNESS GHANA,Teller A
137,Sale-000018,2,GOAL GIN,2,Sgl,6.5,13,07/03/17,6,LOCAL BEVERAGES,PRIME CARE LTD,Teller A
138,Sale-000018,2,CHOICE,1,Sgl,9,9,07/03/17,7,LOCAL BEVERAGES,PRIME CARE LTD,Teller A
139,Sale-000018,2,FAMEKO GIN,1,Sgl,6.5,6.5,07/03/17,8,LOCAL BEVERAGES,OBOUBA DISTILLERIES,Teller A
140,Sale-000025,2,JOY GINGER,3,Sgl,7,21,07/03/17,2,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
141,Sale-000025,2,CHOICE,1,Sgl,9,9,07/03/17,3,LOCAL BEVERAGES,PRIME CARE LTD,Teller A
142,Sale-000025,2,AGYA NIE,2,Sgl,7,14,07/03/17,4,LOCAL BEVERAGES,KWAYISI HERBAL,Teller A
143,Sale-000025,2,ORIJIN BITTERS 70CL,1,Sgl,9,9,07/03/17,5,LOCAL BEVERAGES,GUINNESS GHANA,Teller A
144,Sale-000027,2,ADONKO BITTERS,1,1/2Ctn,40,40,07/03/17,1,WHISKY,ADONKO BITTERS LTD,Teller A
145,Sale-000027,2,JOY GINGER,1,1/2Ctn,32.5,32.5,07/03/17,2,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
146,Sale-000027,2,AGYA NIE,3,Sgl,7,21,07/03/17,3,LOCAL BEVERAGES,KWAYISI HERBAL,Teller A
147,Sale-000027,2,KAKAI BITTERS,2,Sgl,7,14,07/03/17,4,LOCAL BEVERAGES,KINGDOM DISTILLERIES,Teller A
148,Sale-000027,2,BIE GYA,1,Sgl,7,7,07/03/17,5,LOCAL BEVERAGES,AHOMKA BEVERAGES,Teller A
149,Sale-000027,2,LIME CORDIAL,1,Sgl,6.5,6.5,07/03/17,6,LOCAL BEVERAGES,FEEHI LTD,Teller A
150,Sale-000027,2,GOAL GIN,1,Sgl,6.5,6.5,07/03/17,7,LOCAL BEVERAGES,PRIME CARE LTD,Teller A
151,Sale-000027,2,CHOICE,1,Sgl,9,9,07/03/17,8,LOCAL BEVERAGES,PRIME CARE LTD,Teller A
152,Sale-000027,2,GUINNESS STOUT ,1,Ctn,60,60,07/03/17,9,BOTTLED STOUT,DOUBLE C,Teller A
153,Sale-000027,2,ABE NSUO,3,Sgl,6.5,19.5,07/03/17,10,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
154,Sale-000036,2,GIANT MALT,1,1/4Ctn,11.5,11.5,07/03/17,1,CAN MALT,ROYAL BOW LTD,Teller A
155,Sale-000038,2,ABE NSUO,1,Sgl,6.5,6.5,07/03/17,1,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
156,Sale-000038,2,CAN COKE,1,1/4Ctn,13.5,13.5,07/03/17,2,SOFT DRINKS,COCA COLA GHANA LTD,Teller A
157,Sale-000038,2,CAN SPRITE,1,1/4Ctn,14.5,14.5,07/03/17,3,SOFT DRINKS,COCA COLA GHANA LTD,Teller A
158,Sale-000038,2,CAN MALT,1,1/4Ctn,14.5,14.5,07/03/17,4,CAN MALT,GUINNESS GHANA,Teller A
159,Sale-000038,2,JOY GINGER,1,Sgl,7,7,07/03/17,5,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
160,Sale-000063,2,ADONKO BITTERS,1,Ctn,80,80,07/03/17,1,WHISKY,ADONKO BITTERS LTD,Teller A
161,Sale-000063,2,CLUB BEER,1,Ctn,40,40,07/03/17,2,BOTTLED BEER,REMS WORLD,Teller A
162,Sale-000063,2,STAR/L,1,Ctn,40,40,07/03/17,3,WHISKY,CAVE & GARDENS,Teller A
163,Sale-000063,2,GULDER LAGER,1,Ctn,40,40,07/03/17,4,BEER,DOUBLE C,Teller A
164,Sale-000064,2,JOY DADI,5,Sgl,7,35,07/03/17,1,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
165,Sale-000066,2,CLUB BEER,1,Ctn,40,40,07/03/17,1,BOTTLED BEER,REMS WORLD,Teller A
166,Sale-000066,2,STAR/L,1,1/2Ctn,20,20,07/03/17,2,WHISKY,CAVE & GARDENS,Teller A
167,Sale-000066,2,ORIJIN BEER/L,1,1/2Ctn,20,20,07/03/17,3,NONE,NONE,Teller A
168,Sale-000066,2,MINERALS,1,Ctn,32,32,07/03/17,4,BOTTLED MINERALS,NONE,Teller A
169,Sale-000067,2,KISS CIDER,1,1/4Ctn,26.5,26.5,07/03/17,1,CIDER,NONE,Teller A
170,Sale-000070,2,MALT PET,1,Ctn,22,22,07/03/17,1,MALT PET,GUINNESS GHANA,Teller A
171,Sale-000074,2,CAN COKE,1,1/2Ctn,27,27,07/03/17,1,SOFT DRINKS,COCA COLA GHANA LTD,Teller A
172,Sale-000074,2,CAN MALT,1,1/2Ctn,29,29,07/03/17,2,CAN MALT,GUINNESS GHANA,Teller A
173,Sale-000075,2,PEPSI PET 50CL,1,Ctn,26,26,07/03/17,1,SOFT DRINKS PET,NONE,Teller A
174,Sale-000075,2,SANGRIA,2,Sgl,6.5,13,07/03/17,2,WINES,WAGCOL LTD,Teller A
175,Sale-000075,2,BETA MALT,1,Ctn,22,22,07/03/17,3,MALT PET,VOLTIC GHANA,Teller A
176,Sale-000075,2,MULTI FRUTA ,1,Sgl,6.5,6.5,07/03/17,4,DAIRY MILK,CAVE & GARDENS,Teller A
177,Sale-000076,2,HUNTERS GOLD 33CL,1,1/2Ctn,47,47,07/03/17,1,CIDER,LYMONDS LTD,Teller A
178,Sale-000076,2,SANGRIA,1,1/2Ctn,37,37,07/03/17,2,WINES,WAGCOL LTD,Teller A
179,Sale-000076,2,DON GARCIA,1,1/2Ctn,37,37,07/03/17,3,PAPER WINES,LYMONDS LTD,Teller A
180,Sale-000076,2,SAVANNA DRY,1,1/2Ctn,47,47,07/03/17,4,PAPER WINES,WAGCOL LTD,Teller A
181,Sale-000013,2,MALTA GUINNESS,1,Ctn,43,43,07/03/17,1,BOTTLED MALT,DOUBLE C,Teller A
182,Sale-000059,2,HERBAFRIK GTOT,1,Sgl,14,14,07/03/17,1,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
183,Sale-000059,2,JOY GINGER PAK,2,Sgl,7,14,07/03/17,2,BRANDY,COMET GH LTD,Teller A
184,Sale-000078,2,ADONKO BITTERS,2,Sgl,7,14,07/03/17,1,WHISKY,ADONKO BITTERS LTD,Teller A
185,Sale-000078,2,CLUB BEER,1,Ctn,40,40,07/03/17,2,BOTTLED BEER,REMS WORLD,Teller A
186,Sale-000078,2,JOY GINGER,1,Sgl,7,7,07/03/17,3,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
187,Sale-000078,2,JOY DADI,1,Sgl,7,7,07/03/17,4,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
188,Sale-000080,2,JOY GINGER,2,Sgl,7,14,07/04/17,1,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
189,Sale-000079,2,FESTIVAL  ,2,Sgl,8.5,17,07/03/17,2,NON ALCOHOLC WINES,CAVE & GARDENS,Teller A
190,Sale-000080,2,KAKAI BITTERS,1,Sgl,7,7,07/04/17,2,LOCAL BEVERAGES,KINGDOM DISTILLERIES,Teller A
191,Sale-000080,2,JOY DADI,1,Sgl,7,7,07/04/17,3,LOCAL BEVERAGES,JOY INDUSTRIES,Teller A
192,Sale-000080,2,ABE NSUO,1,Sgl,6.5,6.5,07/04/17,4,LOCAL BEVERAGES,AHENEBA KASEMPA,Teller A
193,Sale-000080,2,ADONKO BITTERS,1,Sgl,7,7,07/04/17,5,WHISKY,ADONKO BITTERS LTD,Teller A
194,Sale-000081,2,ALOMO BITTERS,3,Sgl,8.5,25.5,07/04/17,1,LOCAL BEVERAGES,FEEHI LTD,Teller A
195,Sale-000081,2,LIME CORDIAL,2,Sgl,6.5,13,07/04/17,2,LOCAL BEVERAGES,FEEHI LTD,Teller A
196,Sale-000081,2,HUNTERS GOLD 33CL,1,1/4Ctn,23.5,23.5,07/04/17,3,CIDER,LYMONDS LTD,Teller A
197,Sale-000081,2,BLUE JEANS 330ML,1,1/2Ctn,69,69,07/04/17,4,ENERGY DRINKS,LYMONDS LTD,Teller A
198,Sale-000081,2,ORIJIN ZERO,1,Ctn,18,18,07/04/17,5,SOFT DRINKS PET,DOUBLE C,Teller A
199,Sale-000082,2,MAFIA,1,Ctn,64,64,07/04/17,1,LOCAL BEVERAGES,GLOBAL BEVERAGES,Teller A
200,Sale-000082,2,AGYA.A SACHET,2,Ctn,94,188,07/04/17,2,LOCAL BEVERAGES,AGYA.A LTD,Teller A
201,Sale-000083,2,HERBAFRIK 700ML,2,Sgl,9,18,07/04/17,1,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
202,Sale-000083,2,ALOMO BITTERS,2,Sgl,8.5,17,07/04/17,2,LOCAL BEVERAGES,FEEHI LTD,Teller A
203,Sale-000083,2,MANDINGO BITTERS,1,Sgl,11,11,07/04/17,3,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
204,Sale-000083,2,CASTLE 700ML,1,Sgl,10,10,07/04/17,4,LOCAL BEVERAGES,GIHOC DISTILLERIES,Teller A
205,Sale-000083,2,AGYA NIE,2,Sgl,7,14,07/04/17,5,LOCAL BEVERAGES,KWAYISI HERBAL,Teller A
